processed_text,label
bromwell high cartoon comedy ran time program school life teacher 35 year teaching profession lead believe bromwell high satire much closer reality teacher scramble survive financially insightful student see right pathetic teacher pomp pettiness whole situation remind school knew student saw episode student repeatedly tried burn school immediately recalled high classic line inspector sack one teacher student welcome bromwell high expect many adult age think bromwell high far fetched pity,1
homelessness houselessness george carlin stated issue year never plan help street considered human everything going school work vote matter people think homeless lost cause worrying thing racism war iraq pressuring kid succeed technology election inflation worrying next end street given bet live street month without luxury home entertainment set bathroom picture wall computer everything treasure see like homeless goddard bolt lesson mel brook directs star bolt play rich man everything world deciding make bet sissy rival jeffery tambor see live street thirty day without luxury bolt succeeds want future project making building bet bolt thrown street bracelet leg monitor every move cannot step sidewalk given nickname pepto vagrant written forehead bolt meet character including woman name molly lesley ann warren ex dancer got divorce losing home pal sailor howard morris fume teddy wilson already used street survivor bolt not used reaching mutual agreement like rich fight flight kill killed love connection molly bolt not necessary plot found life stink one mel brook observant film prior comedy show tender side compared slapstick work blazing saddle young frankenstein spaceballs matter show like something valuable losing next day hand making stupid bet like rich people not know money maybe give homeless instead using like monopoly money maybe film inspire help others,1
brilliant acting lesley ann warren best dramatic hobo lady ever seen love scene clothes warehouse second none corn face classic good anything blazing saddle take lawyer also superb accused turncoat selling bos dishonest lawyer pepto bolt shrug indifferently lawyer say three funny word jeffrey tambor favorite later larry sander show fantastic mad millionaire want crush ghetto character malevolent usual hospital scene scene homeless invade demolition site time classic look leg scene two big digger fighting one bleeds movie get better time see quite often,1
easily underrated film inn brook cannon sure flawed not give realistic view homelessness unlike say citizen kane gave realistic view lounge singer titanic gave realistic view italian idiot many joke fall flat still film lovable way many comedy not pull story traditionally reviled member society truly impressive not fisher king not crap either complaint brook cast someone else lead love mel director writer not much lead,1
not typical mel brook film much less slapstick movie actually plot followable leslie ann warren made movie fantastic rated actress moment could fleshed bit scene could probably cut make room worth price rent see acting good overall brook good job without characteristic speaking directly audience warren best actor movie fume sailor played part well,1
not comedic robin williams nor quirky insane robin williams recent thriller fame hybrid classic drama without dramatization mixed robin new love thriller not thriller per se mystery suspense vehicle williams attempt locate sick boy keeper also starring sandra oh rory culkin suspense drama play pretty much like news report william character get close achieving goal must say highly entertained though movie fails teach guide inspect amuse felt like watching guy williams actually performing action third person perspective word felt real able subscribe premise story worth watch though definitely not friday saturday night fare rate 7 7 10 fiend,1
yes art successfully make slow paced thriller story unfolds nice volume not even notice happening fine performance robin williams sexuality angle film seem unnecessary probably affect much enjoy film however core plot engaging movie not rush onto still grip enough keep wondering direction good use light achieve desired affect suspense unexpectedness good nice 1 time watch looking lay back hear thrilling short story,1
critically acclaimed psychological thriller based true event gabriel robin williams celebrated writer late night talk show host becomes captivated harrowing story young listener adoptive mother toni collette troubling question arise boy story however gabriel find drawn widening mystery hide deadly secret according film official synopsis really stop reading comment watch film lose leg ending m collette planning new life chopped sent deleted scene land overkill true nature physical mental ailment obvious time mr williams return new york possibly blindness could question revelation could made certain either highway video tape scene film would benefit editing director cut williams bobby cannavale jess not seem initially believable couple scene two establishing relationship might helped set stage otherwise cast exemplary williams offer exceptionally strong characterization not gay impersonation sandra oh anna joe morton ashe rory culkin pete logand perfect best collette donna belongs creepy hall fame m oh correct saying collette might know like guy psycho several year organization giving acting award seemed reach woman due slighter dispersion role certainly could noticed collette award consideration good director patrick stettner definitely evokes hitchcock even make getting sandwich vending machine suspenseful finally writer stettner armistead maupin terry anderson deserve gratitude flight attendant everywhere night listener 1 21 06 patrick stettner robin williams toni collette sandra oh rory culkin,1
night listener 2006 1 2 robin williams toni collette bobby cannavale rory culkin joe morton sandra oh john cullum lisa emery becky ann baker dir patrick stettner hitchcockian suspenser give williams stand low key performance celebrity fan near paranoia one associate almost norm latest derange fan scenario based true event no less williams star talk radio personality named gabriel no one read story penned airwave accumulated interesting fan form young boy named pete logand culkin submitted manuscript travail troubled youth no one editor ashe morton give no one read no one naturally disturbed ultimately intrigued nightmarish existence pete abducted sexually abused year finally rescued nurse named donna collette giving excellent performance adopted boy correspondence no one reveals pete dying aid naturally no one want meet fan suddenly doubt possibly devious ulterior motif seed planted estranged lover jess cannavale whose sudden departure new york city apartment no one emotional tailspin grown tempest teacup decides investigating donna pete background discovering truth not anticipate written armistead maupin co wrote screenplay former lover terry anderson film novice director stettner based true story fan hoax found hitchcockian moment run full tilt like good old fashioned pot boiler help williams give stand low key performance conflicted good hearted personality genuinely want believe number one fan fact real love one thing escaped reality unsettling dreadful moment creepy collette whose one physical trait leave unmentioned underline desperation character rattle core however film run gas eventually becomes bit repetitive predictable despite finely directed piece hoodwink mystery stettner pay listen inner voice careful hope,1
know robin williams god bless constantly shooting foot lately dumb comedy done decade perhaps exception death smoochy bombed came cult classic drama made lately fantastic especially insomnia one hour photo night listener despite mediocre review quick dvd release among best work period chilling story even though not include serial killer anyone physically dangerous matter concept film based actual case fraud still yet officially confirmed high school read autobiography child named anthony godby johnson suffered horrific abuse eventually contracted aid result moved story read report online johnson may not actually exist saw movie confused feeling robin williams brilliantly portrayed resurfaced mind toni collette probably give best dramatic performance ultimately sociopathic caretaker role far cry movie like little miss sunshine even time looked camera thought staring right take good actress play sort role understated yet well reviewed role make toni collette probably one best actress generation not even nominated academy award 2008 incredible least one woman world like scary good dark film highly recommend prepared unsettled though movie leaf strange feeling end,1
first read armistead maupins story taken human drama displayed gabriel no one care love said given film version excellent story expected see past gloss hollywood writer armistead maupin director patrick stettner truly succeeded right amount restraint robin williams capture fragile essence gabriel let u see struggle issue trust personnel life jess world around donna introduced player drama reminded nothing ever seems smallest event change life irrevocably request review book written young man turn life changing event help gabriel find strength within carry move forward bad people avoid film say average american probably think robin williams serious role not work please give movie chance robin williams touch darkness must find go better people like movie one hour photo stepped actor made another quality piece art oh forget believe bobby cannavale jess steal every scene 1940 leading man look screen presence hack opinion could carry movie right,1
liked film action scene interesting tense well done especially liked opening scene semi truck tense action scene seemed well done transitional scene filmed interesting way time lapse photography unusual color interesting angle also film funny several part also liked evil guy portrayed would give film 8 10,1
many illness born mind man given life modern time constant vigilance accrued information realm pyschosis kept psychologist counselor psychiatrist busy enough work last decade occasionally mental phenomenon discover no knowledge remedy even existence premise film entitled night listner tell story popular radio host called gabriel noon robin williams spends evening enthralling audience vivid story gay lifestyle perhaps show losing authentic veneer cause noon admit no longer feeling abandoned lover jess bobby cannavale best friend joe morton seek shelter deepening despair isolation mysterious voice night asks help noon need feel useful reach desperate voice belongs 14 year old boy called peter rory culkin reading boy harrowing manuscript depicts early life sexual abuse hand brutal parent noon captivated want help however thing not seem noon soon find en wrapped elusive bizarre tale torn right medical nightmare movie pure robin williams not toni collette play donna logand sandra oh anna john cullum pop might comical instead may prove one william serious performance,1
enjoyed night listener much one better movie summer robin williams give one best performance fact entire cast good played right note character not much not little sandra oh add wonderful comic touch toni collette great mom never go top everyone believable short movie hour half noticed general release version nine minute shorter sundance version wonder disturbing image cut movie director told story straightforward fashion refreshing change many director day seem think job impress audience rather tell story tell well not sucker punched preview ad not hitchcockian thriller see night listener want see good story told well go expecting hitchcock disappointed complaint movie ending director could left little audience imagination minor quibble,1
night listener probably not one william best role make interesting character somewhat odd different movie guarantee never seen kind movie people maybe not like slow pacing movie think great plus movie definitely one top movie come year 2006 intriguing performance movie great content dramatic feeling no americanized movie neither predictable movie feel movie secret hard time determine outcome may no excellent movie everything hell damn good original movie,1
like one previous commenters said foundation great movie something happened way delivery waste collette performance eerie williams believable kept waiting get better not think bad editing needed another director could film came across canadian movie something like first season x file not cheap hokey also needed little suspense something make jump seat movie reached moment faded away kind like false climax see suspenseful would taken away reality story thought part reached gabriel hospital looking boy movie need director cut try fix problem,1
night listener held attention robin williams shining new york city radio host becomes enamored friendship 14 year old boy rory culkin ill williams never met boy person contact talking telephone however williams ex boyfriend nice job bobby cannavale raise doubt boy prompt williams arrange meeting person follows make permanent impact williams way not expect leave toni collette also star enjoyed film toni collette giving memorable portrayal culkin adoptive mother sandra oh also starred williams friend night listener inspired actual event somber almost creepy silence throughout time predictable no thanks review read seeing movie due logic liked anyway enjoy williams role like comedic character added bonus recommended 8 10,1
popular radio storyteller gabriel no one robin williams scraggy speaking hushed hypnotic tone becomes acquainted friend fourteen year old boy wisconsin named pete logand rory culkin written book detailing sexual abuse parent boot pete aid compels gabriel still since partner jess bobby cannavale good happens survivor hiv also acquaints pete guardian woman named donna toni collette brilliant gabriel decides want meet talk two person go wisconsin discovers secret naturally not prepared find based real event happened armistead maupin co wrote screenplay terry anderson directed patrick stetner film move lot faster 90 min maybe minute longer one might think movie genre would run good keep action storyline lean clear bad leaf various hole plot not sew plot opening back story would rather not go great detail except say not familiar mr maupin work personal story feel little bit loop still performance williams would loved heard narration personally collette cannavale culkin much supporting cast waitress restaurant collete donna frequents great job small part top notch mood established namely chilly lonely dark exterior wisconsin new york give terrific framing story may end not tie together particularly well still compelling enough story stick,1
one thing recommend film intriguing premise certainly draw audience mystery throughout film hint something dark lurking however not much tension williams mild mannered portrayal not much make u relate obsession boy collete fare much better woman whose true nature intention not clear production felt rushed hole apparent certainly feel like preview much complete better effort book probably better one thing certain taupin must written something truly good inspired least one commendable effort,1
absolutely loved film not relate comment read completely enthralled every second found story gripping acting intense direction spot would literally jump every time phone would ring close end movie even though nothing scary story soundly edge whole movie rest evening found many perfect choice made casting script little bit humor sprinkled many point film could gone cheap thrill never put movie many mediocre thriller come lately last number year,1
night listener better people generally saying weakness seems genre identity crisis no doubt think creepy atmosphere intriguing performance make whole thing feel like one fireside happened friend friend mine ghost story one big complaint movie pacing slow sometimes awkward pacing deliberate everything unfolds movie kept well within realm possibility real life sort plod along no no flashy ending earth shattering revelation no showdown scene thank heaven get zone watching movie forget reservation expectation make conventionally good movie williams not terrific easily meet need story plus character supposed somewhat generic no one everyman avatar enter story toni collette performance nominated oscar even maybe not win give shot quality content alone night listener surely top twenty percent movie coming day,1
come movie pretty picky complain anything everything done wrong every movie flaw night listener exceptionally low count read last review hard since half written cap contained no actual information movie may led believe movie not well done unfortunately read 3 line review discovered poster reason disdain not like fact director gay production team smoke crack apparently despite fact never written review thought movie deserved one based merit not sexual orientation director let u go quick checklist first 1 great plot absolutely not give shred away plot highly compelling definitely not one would expect based commercial thriller not horror approached story really amaze even true plot stay quite faithful actual event 2 wonderful acting oh yes robin williams long ago broke free chain comedy type cast since flourished serious role many people would wrote decade ago achieves high form role night listener playing radio host becomes increasingly troubled entangled case well let see 3 excellent direction certainly unlike poster referred actually know something direction sutdying art direction school 3 year course really not think make lick difference thing matter like direction thought simply establish basing opinion something substantial relevant example not sexual orientation director alleged drug habit production team lol patrick stettner direction moody dark allowed angle lighting help create sought feeling tension release rather messy fast paced camera work quick cut often subjected today people truly show story camera feel make story camera really appreciate someone day courage use camera supposed utilized eyeball see 4 lighting cinematography editing great around already wrote much could go last three thing another ten paragraph wrap short go see movie not listen people alterior motif trashing especially stupid unknowingly reveal motive 1 4 way post enjoy show ben,1
somewhat funny well paced action thriller jamie foxx hapless fast talking hoodlum chosen overly demanding u treasury agent david morse released street new york find picky computer thief hacker doug hutchinson stole forty two million dollar treasury left two guard shot dead bait mark sophomore feature antoine fuqua replacement killer handle task fairly well even though not top first movie two film common action sequence flat excellent foxx pretty good although character annoying beginning throughout film began catch hutchinson marvelous mastermind ruthless john malkovich patient late laurence olivier marathon man morse okay agent come ingenious plan get whoever cost,1
legendary boris karloff ended illustrious career making four cheapie fright flick clunkers mexico token moody period gothic horror entry bunch karloff give typically spry dignified performance matthias morteval elderly eccentric patriarch invite several petty greedy backbiting no count relative creepy rundown castle reading pretty soon hateful guest getting bumped lethal life sized toy people populate place onetime mexican sex symbol andres garcia tintorera infamy portrays dashing police officer hero julissa look absolutely ravishing sole likable female character clunky plodding non direction trite number script ugly washed cinematography ridiculous murder set piece gross fat slob get blasted right face miniature cannon overwrought string score morbid gloom doom atmosphere largely lousy acting karloff notably excepted cheesy mild gore poor dubbing rousing fiery conclusion lend enjoyably awful lemon certain endearingly cruddy hence oddly amusing ratty charm real campy hoot,1
tale based two edgar allen poe piece fall house usher dance death poem actually quite creepy beginning end similar old black white movie people meet old decrepit house example cat canary old dark house night terror boris karloff play demented inventor life size doll terrorize guest dy early film resident house subjected number terrifying experience not go much detail definitely must see fan old dark house mystery watch plenty popcorn soda darkened room dan basinger 8 10,1
aro tolbukhin burnt alive seven people mission guatemala 70 also declared murdered another 16 people used kill pregnant woman set fire movie documentary portrait personality aro several interview people got know scene played actor based real fact aro tolbukhin serious work analytical not morbid horrifying testimony childhood trauma turn man monster rate 7 10,1
seeing several movie villaronga pretty clear opinion concentrate much personal aspect character forgetting rhythm movie though good critic movie never caught broad audience attention aro follows line really improved rhythm especially end movie frankly speaking slept first part cause though first part give necessary information really slow nevertheless second part absolutely marvelous make whole movie best movie ever made villaronga recommended,1
